date,NÂº acumulado de los turistas extranjeros,turists_normalized
2006-08-01,3871506,100.0
2007-08-01,4015058,103.70791108163078
2008-08-01,4138387,106.89346729670572
2009-08-01,3618784,93.4722560161343
2010-08-01,3559217,91.93365579182881
2011-08-01,3782255,97.69466972284171
2012-08-01,3766909,97.2982865065946
2013-08-01,4200007,108.48509598073721
2014-08-01,4408860,113.87971502562569
2015-08-01,4608748,119.04277043610418
2016-08-01,5446771,140.68868807125702
2017-08-01,6278054,162.16051324729963
2018-08-01,6415183,165.7025198979415
2019-08-01,6657865,171.97093327506144
2020-08-01,2054836,53.07588313178386
2021-08-01,1970637,50.901044709733114
2022-08-01,5760685,148.7970056097033
