date,Nuevos casos notificados cada 
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,6.0
2020-02-29,2.0
2020-03-1,5.0
2020-03-2,0.0
2020-03-3,0.0
2020-03-4,4.0
2020-03-5,0.0
2020-03-6,11.0
2020-03-7,0.0
2020-03-8,7.0
2020-03-9,0.0
2020-03-10,13.0
2020-03-11,15.0
2020-03-12,11.0
2020-03-13,18.0
2020-03-14,36.0
2020-03-15,279.0
2020-03-16,0.0
2020-03-17,132.0
2020-03-18,185.0
2020-03-19,195.0
2020-03-20,184.0
2020-03-21,258.0
2020-03-22,241.0
2020-03-23,297.0
2020-03-24,266.0
2020-03-25,449.0
2020-03-26,584.0
2020-03-27,332.0
2020-03-28,502.0
2020-03-29,750.0
2020-03-30,326.0
2020-03-31,398.0
2020-04-1,414.0
2020-04-2,386.0
2020-04-3,316.0
2020-04-4,277.0
2020-04-5,283.0
2020-04-6,150.0
2020-04-7,109.0
2020-04-8,212.0
2020-04-9,309.0
2020-04-10,367.0
2020-04-11,247.0
2020-04-12,263.0
2020-04-13,219.0
2020-04-14,153.0
2020-04-15,211.0
2020-04-16,191.0
2020-04-17,-129.0
2020-04-18,98.0
2020-04-19,73.0
2020-04-20,51.0
2020-04-21,42.0
2020-04-22,75.0
2020-04-23,44.0
2020-04-24,70.0
2020-04-25,127.0
2020-04-26,94.0
2020-04-27,20.0
2020-04-28,24.0
2020-04-29,32.0
2020-04-30,95.0
2020-05-1,16.0
2020-05-2,64.0
2020-05-3,25.0
2020-05-4,0.0
2020-05-5,64.0
2020-05-6,37.0
2020-05-7,55.0
2020-05-8,27.0
2020-05-9,42.0
2020-05-10,52.0
2020-05-11,16.0
2020-05-12,11.0
2020-05-13,20.0
2020-05-14,24.0
2020-05-15,29.0
2020-05-16,37.0
2020-05-17,43.0
2020-05-18,21.0
2020-05-19,13.0
2020-05-20,22.0
2020-05-21,38.0
2020-05-22,34.0
2020-05-23,30.0
2020-05-24,22.0
2020-05-25,-17.0
2020-05-26,33.0
2020-05-27,11.0
2020-05-28,60.0
2020-05-29,31.0
2020-05-30,8.0
2020-05-31,2.0
2020-06-1,27.0
2020-06-2,10.0
2020-06-3,16.0
2020-06-4,11.0
2020-06-5,20.0
2020-06-6,15.0
2020-06-7,14.0
2020-06-8,18.0
2020-06-9,10.0
2020-06-10,19.0
2020-06-11,20.0
2020-06-12,8.0
2020-06-13,4.0
2020-06-14,11.0
2020-06-15,14.0
2020-06-16,3.0
2020-06-17,10.0
2020-06-18,10.0
2020-06-19,10.0
2020-06-20,25.0
2020-06-21,3.0
2020-06-22,7.0
2020-06-23,8.0
2020-06-24,7.0
2020-06-25,8.0
2020-06-26,3.0
2020-06-27,19.0
2020-06-28,6.0
2020-06-29,4.0
2020-06-30,38.0
2020-07-1,9.0
2020-07-2,28.0
2020-07-3,14.0
2020-07-6,36.0
2020-07-7,19.0
2020-07-8,16.0
2020-07-9,17.0
2020-07-10,22.0
2020-07-13,54.0
2020-07-14,37.0
2020-07-15,23.0
2020-07-16,38.0
2020-07-17,41.0
2020-07-20,170.0
2020-07-21,79.0
2020-07-22,57.0
2020-07-23,86.0
2020-07-24,117.0
2020-07-27,331.0
2020-07-28,114.0
2020-07-29,112.0
2020-07-30,234.0
2020-07-31,85.0
2020-08-3,522.0
2020-08-4,134.0
2020-08-5,288.0
2020-08-6,177.0
2020-08-7,469.0
2020-08-10,503.0
2020-08-11,252.0
2020-08-12,271.0
2020-08-13,358.0
2020-08-14,485.0
2020-08-17,715.0
2020-08-18,389.0
2020-08-19,291.0
2020-08-20,475.0
2020-08-21,456.0
2020-08-24,875.0
2020-08-25,770.0
2020-08-26,0.0
2020-08-27,1.256
2020-08-28,691.0
2020-08-31,1.401
2020-09-1,910.0
2020-09-2,455.0
2020-09-3,535.0
2020-09-4,714.0
2020-09-7,1.132
2020-09-8,671.0
2020-09-9,740.0
2020-09-10,654.0
2020-09-11,959.0
2020-09-14,833.0
2020-09-15,904.0
2020-09-16,547.0
2020-09-17,681.0
2020-09-18,539.0
2020-09-21,879.0
2020-09-22,890.0
2020-09-23,657.0
2020-09-24,706.0
2020-09-25,610.0
2020-09-28,1.059
2020-09-29,900.0
2020-09-30,615.0
2020-10-1,562.0
2020-10-2,591.0
2020-10-5,1.13
2020-10-6,589.0
2020-10-7,380.0
2020-10-8,706.0
2020-10-9,576.0
2020-10-12,593.0
2020-10-13,268.0
2020-10-14,761.0
2020-10-15,780.0
2020-10-16,902.0
2020-10-19,1.124
2020-10-20,1.318
2020-10-21,603.0
2020-10-22,1.06
2020-10-23,1.202
2020-10-26,2.044
2020-10-27,1.066
2020-10-28,1.605
2020-10-29,1.529
2020-10-30,1.517
2020-11-2,1.935
2020-11-3,1.965
2020-11-4,2.35
2020-11-5,1.194
2020-11-6,1.078
2020-11-9,3.037
2020-11-10,2.338
2020-11-11,1.934
2020-11-12,2.136
2020-11-13,2.295
2020-11-16,2.175
2020-11-17,1.85
2020-11-18,1.908
2020-11-19,2.207
2020-11-20,1.918
2020-11-23,2.374
2020-11-24,2.183
2020-11-25,1.427
2020-11-26,1.507
2020-11-27,1.345
2020-11-30,1.492
2020-12-1,1.815
2020-12-2,1.419
2020-12-3,1.722
2020-12-4,1.39
2020-12-7,2.118
2020-12-9,1.527
2020-12-10,1.695
2020-12-11,1.46
2020-12-14,2.146
2020-12-15,2.841
2020-12-16,2.079
2020-12-17,2.109
2020-12-18,2.189
2020-12-21,2.713
2020-12-22,2.421
2020-12-23,2.53
2020-12-24,2.494
2020-12-28,2.752
2020-12-29,3.582
2020-12-30,2.723
2020-12-31,2.832
2021-01-4,3.106
2021-01-5,3.919
2021-01-7,3.793
2021-01-8,4.541
2021-01-11,10.016
2021-01-12,4.691
2021-01-13,4.808
2021-01-14,6.206
2021-01-15,7.495
2021-01-18,13.079
2021-01-19,7.949
2021-01-20,9.805
2021-01-21,8.452
2021-01-22,8.623
2021-01-25,19.462
2021-01-26,9.593
2021-01-27,9.286
2021-01-28,6.744
2021-01-29,8.024
2021-02-1,18.63
2021-02-2,8.093
2021-02-3,5.256
2021-02-4,4.818
2021-02-5,6.128
2021-02-8,7.208
2021-02-9,4.31
2021-02-10,3.03
2021-02-11,2.715
2021-02-12,2.389
2021-02-15,3.979
2021-02-16,2.063
2021-02-17,1.542
2021-02-18,3.049
2021-02-19,1.77
2021-02-22,1.989
2021-02-23,829.0
2021-02-24,531.0
2021-02-25,612.0
2021-02-26,536.0
2021-03-1,1.237
2021-03-2,572.0
2021-03-3,416.0
2021-03-4,489.0
2021-03-5,488.0
2021-03-8,660.0
2021-03-9,334.0
2021-03-10,248.0
2021-03-11,300.0
2021-03-12,310.0
2021-03-15,442.0
2021-03-16,223.0
2021-03-17,144.0
2021-03-18,178.0
2021-03-22,506.0
2021-03-23,39.0
2021-03-24,321.0
2021-03-25,89.0
2021-03-26,187.0
2021-03-29,362.0
2021-03-30,18.0
2021-03-31,229.0
2021-04-1,208.0
2021-04-3,418.0
2021-04-5,155.0
2021-04-6,43.0
2021-04-7,149.0
2021-04-8,302.0
2021-04-9,174.0
2021-04-12,423.0
2021-04-13,81.0
2021-04-14,161.0
2021-04-15,221.0
2021-04-16,223.0
2021-04-19,436.0
2021-04-20,106.0
2021-04-21,182.0
2021-04-22,222.0
2021-04-23,182.0
2021-04-26,532.0
2021-04-27,144.0
2021-04-28,225.0
2021-04-29,215.0
2021-04-30,186.0
2021-05-3,348.0
2021-05-4,127.0
2021-05-5,149.0
2021-05-6,168.0
2021-05-7,175.0
2021-05-10,286.0
2021-05-11,99.0
2021-05-12,133.0
2021-05-13,131.0
2021-05-14,153.0
2021-05-17,387.0
2021-05-18,136.0
2021-05-19,138.0
2021-05-20,173.0
2021-05-21,166.0
2021-05-24,268.0
2021-05-25,120.0
2021-05-26,192.0
2021-05-27,210.0
2021-05-28,155.0
2021-05-31,400.0
2021-06-1,166.0
2021-06-2,183.0
2021-06-3,205.0
2021-06-4,201.0
2021-06-7,416.0
2021-06-8,167.0
2021-06-9,213.0
2021-06-10,191.0
2021-06-11,187.0
2021-06-14,401.0
2021-06-15,136.0
2021-06-16,209.0
2021-06-17,207.0
2021-06-18,269.0
2021-06-21,451.0
2021-06-22,332.0
2021-06-23,279.0
2021-06-24,0.0
2021-06-25,821.0
2021-06-28,1.338
2021-06-29,618.0
2021-06-30,934.0
2021-07-1,1.41
2021-07-2,1.271
2021-07-5,3.662
2021-07-6,998.0
2021-07-7,1.587
2021-07-8,1.834
2021-07-9,0.0
2021-07-12,6.616
2021-07-13,1.553
2021-07-14,2.098
2021-07-15,2.534
2021-07-16,2.754
2021-07-19,5.863
2021-07-20,2.112
2021-07-21,3.015
2021-07-22,3.159
2021-07-23,2.913
2021-07-26,6.39
2021-07-27,1.876
2021-07-28,2.685
2021-07-29,2.968
2021-07-30,1.977
2021-08-2,6.645
2021-08-3,1.704
2021-08-4,2.297
2021-08-5,2.073
2021-08-6,2.06
2021-08-9,4.139
2021-08-10,966.0
2021-08-11,1.629
2021-08-12,1.593
2021-08-13,1.439
2021-08-16,2.879
2021-08-17,765.0
2021-08-18,1.29
2021-08-19,961.0
2021-08-20,1.119
2021-08-23,2.34
2021-08-24,623.0
2021-08-25,1.059
2021-08-26,836.0
2021-08-27,854.0
2021-08-30,1.733
2021-08-31,441.0
2021-09-1,748.0
2021-09-2,702.0
2021-09-3,582.0
2021-09-6,952.0
2021-09-7,358.0
2021-09-8,430.0
2021-09-9,401.0
2021-09-10,355.0
2021-09-13,632.0
2021-09-14,176.0
2021-09-15,361.0
2021-09-16,345.0
2021-09-17,282.0
2021-09-20,521.0
2021-09-21,187.0
2021-09-22,261.0
2021-09-23,210.0
2021-09-24,230.0
2021-09-27,457.0
2021-09-28,185.0
2021-09-29,226.0
2021-09-30,183.0
2021-10-1,178.0
2021-10-4,342.0
2021-10-5,139.0
2021-10-6,136.0
2021-10-7,126.0
2021-10-8,152.0
2021-10-11,290.0
2021-10-13,235.0
2021-10-14,185.0
2021-10-15,180.0
2021-10-18,509.0
2021-10-19,149.0
2021-10-20,281.0
2021-10-21,281.0
2021-10-22,239.0
2021-10-25,562.0
2021-10-26,185.0
2021-10-27,276.0
2021-10-28,270.0
2021-10-29,298.0
2021-11-2,672.0
2021-11-3,240.0
2021-11-4,416.0
2021-11-5,346.0
2021-11-8,849.0
2021-11-10,699.0
2021-11-11,513.0
2021-11-12,408.0
2021-11-15,1.164
2021-11-16,0.0
2021-11-17,1.092
2021-11-18,652.0
2021-11-19,727.0
2021-11-22,1.762
2021-11-23,599.0
2021-11-24,1.097
2021-11-25,1.334
2021-11-26,952.0
2021-11-29,2.863
2021-11-30,1.149
2021-12-1,1.259
2021-12-2,1.522
2021-12-3,1.662
2021-12-7,5.388
2021-12-9,3.007
2021-12-10,2.7
2021-12-13,6.696
2021-12-14,2.162
2021-12-15,2.984
2021-12-16,3.911
2021-12-17,3.751
2021-12-20,9.648
2021-12-21,2.567
2021-12-22,3.747
2021-12-23,5.82
2021-12-27,16.923
2021-12-28,5.655
2021-12-29,7.963
2021-12-30,8.353
2022-01-3,34.654
2022-01-4,9.16
2022-01-5,12.043
2022-01-7,28.846
2022-01-10,29.347
2022-01-11,16.364
2022-01-12,16.611
2022-01-13,19.278
2022-01-14,22.081
2022-01-17,34.774
2022-01-18,13.196
2022-01-19,22.016
2022-01-20,26.674
2022-01-21,22.062
2022-01-24,57.608
2022-01-25,30.585
2022-01-26,18.561
2022-01-27,30.41
2022-01-28,23.716
2022-01-31,23.166
2022-02-1,13.626
2022-02-2,17.677
2022-02-3,15.62
2022-02-4,12.78
2022-02-7,19.0
2022-02-8,8.985
2022-02-9,9.934
2022-02-10,9.101
2022-02-11,8.95
2022-02-14,11.863
2022-02-15,6.28
2022-02-16,6.38
2022-02-17,5.037
2022-02-18,4.563
2022-02-21,5.948
2022-02-22,3.919
2022-02-23,4.238
2022-02-24,3.629
2022-02-25,3.271
2022-03-1,6.262
2022-03-2,2.729
2022-03-3,2.439
2022-03-4,2.407
2022-03-7,2.931
2022-03-8,1.975
2022-03-9,2.154
2022-03-10,2.326
2022-03-11,2.059
2022-03-15,4.022
2022-03-18,4.671
2022-03-22,3.655
2022-03-25,10.781
2022-03-29,9.321
2022-04-1,7.327
2022-04-5,4.36
2022-04-8,4.804
2022-04-12,4.166
2022-04-19,7.581
2022-04-22,4.017
2022-04-26,6.093
2022-04-29,4.28
2022-05-3,6.049
2022-05-6,5.895
2022-05-10,5.701
2022-05-13,6.389
2022-05-17,6.111
2022-05-20,5.896
2022-05-24,4.728
2022-05-27,4.255
2022-05-31,3.458
2022-06-3,3.326
2022-06-7,3.019
2022-06-10,3.109
2022-06-14,3.144
2022-06-17,3.488
2022-06-21,3.853
2022-06-24,4.812
2022-06-28,4.479
2022-07-1,8.789
2022-07-5,8.346
2022-07-8,8.854
2022-07-12,7.64
2022-07-15,6.495
2022-07-19,5.423
2022-07-22,4.756
2022-07-26,4.506
2022-07-29,3.519
2022-08-2,2.922
2022-08-5,2.495
2022-08-9,2.664
2022-08-12,1.996
2022-08-23,4.121
2022-08-26,1.35
2022-08-30,1.165
2022-09-2,1.146
2022-09-6,1.149
2022-09-9,1.184
2022-09-13,964.0
2022-09-16,1.102
2022-09-20,945.0
2022-09-23,1.032
2022-09-27,964.0
2022-09-30,1.086
2022-10-4,954.0
2022-10-7,1.207
2022-10-14,2.22
2022-10-21,2.195
2022-10-28,2.071
