date,total,grupos_ipc
2015-12-01,-1.8,vivienda. agua. electricidad. gas y otros combustibles
2015-11-01,-1.9,vivienda. agua. electricidad. gas y otros combustibles
2015-10-01,-4.2,vivienda. agua. electricidad. gas y otros combustibles
2015-09-01,-4.0,vivienda. agua. electricidad. gas y otros combustibles
2015-08-01,-0.9,vivienda. agua. electricidad. gas y otros combustibles
2015-07-01,1.3,vivienda. agua. electricidad. gas y otros combustibles
2015-06-01,0.0,vivienda. agua. electricidad. gas y otros combustibles
2015-05-01,-2.0,vivienda. agua. electricidad. gas y otros combustibles
2015-04-01,-1.2,vivienda. agua. electricidad. gas y otros combustibles
2015-03-01,-1.5,vivienda. agua. electricidad. gas y otros combustibles
2015-02-01,-1.3,vivienda. agua. electricidad. gas y otros combustibles
2015-01-01,0.2,vivienda. agua. electricidad. gas y otros combustibles
2014-12-01,0.1,vivienda. agua. electricidad. gas y otros combustibles
2014-11-01,0.1,vivienda. agua. electricidad. gas y otros combustibles
2014-10-01,1.8,vivienda. agua. electricidad. gas y otros combustibles
2014-09-01,2.8,vivienda. agua. electricidad. gas y otros combustibles
2014-08-01,1.1,vivienda. agua. electricidad. gas y otros combustibles
2014-07-01,1.5,vivienda. agua. electricidad. gas y otros combustibles
2014-06-01,2.5,vivienda. agua. electricidad. gas y otros combustibles
2014-05-01,3.3,vivienda. agua. electricidad. gas y otros combustibles
2014-04-01,2.7,vivienda. agua. electricidad. gas y otros combustibles
2014-03-01,0.5,vivienda. agua. electricidad. gas y otros combustibles
2014-02-01,0.8,vivienda. agua. electricidad. gas y otros combustibles
2014-01-01,1.2,vivienda. agua. electricidad. gas y otros combustibles
2013-12-01,-0.5,vivienda. agua. electricidad. gas y otros combustibles
2013-11-01,-0.6,vivienda. agua. electricidad. gas y otros combustibles
2013-10-01,-1.0,vivienda. agua. electricidad. gas y otros combustibles
2013-09-01,-2.4,vivienda. agua. electricidad. gas y otros combustibles
2013-08-01,-1.1,vivienda. agua. electricidad. gas y otros combustibles
2013-07-01,-1.9,vivienda. agua. electricidad. gas y otros combustibles
2013-06-01,-0.5,vivienda. agua. electricidad. gas y otros combustibles
2013-05-01,-0.6,vivienda. agua. electricidad. gas y otros combustibles
2013-04-01,0.1,vivienda. agua. electricidad. gas y otros combustibles
2013-03-01,4.9,vivienda. agua. electricidad. gas y otros combustibles
2013-02-01,4.8,vivienda. agua. electricidad. gas y otros combustibles
2013-01-01,4.4,vivienda. agua. electricidad. gas y otros combustibles
2012-12-01,7.2,vivienda. agua. electricidad. gas y otros combustibles
2012-11-01,7.2,vivienda. agua. electricidad. gas y otros combustibles
2012-10-01,7.7,vivienda. agua. electricidad. gas y otros combustibles
2012-09-01,8.6,vivienda. agua. electricidad. gas y otros combustibles
2012-08-01,7.1,vivienda. agua. electricidad. gas y otros combustibles
2012-07-01,6.7,vivienda. agua. electricidad. gas y otros combustibles
2012-06-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2012-05-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2012-04-01,5.7,vivienda. agua. electricidad. gas y otros combustibles
2012-03-01,3.6,vivienda. agua. electricidad. gas y otros combustibles
2012-02-01,4.0,vivienda. agua. electricidad. gas y otros combustibles
2012-01-01,4.2,vivienda. agua. electricidad. gas y otros combustibles
2011-12-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2011-11-01,6.3,vivienda. agua. electricidad. gas y otros combustibles
2011-10-01,6.6,vivienda. agua. electricidad. gas y otros combustibles
2011-09-01,8.0,vivienda. agua. electricidad. gas y otros combustibles
2011-08-01,8.0,vivienda. agua. electricidad. gas y otros combustibles
2011-07-01,8.1,vivienda. agua. electricidad. gas y otros combustibles
2011-06-01,8.4,vivienda. agua. electricidad. gas y otros combustibles
2011-05-01,8.4,vivienda. agua. electricidad. gas y otros combustibles
2011-04-01,8.5,vivienda. agua. electricidad. gas y otros combustibles
2011-03-01,8.7,vivienda. agua. electricidad. gas y otros combustibles
2011-02-01,8.6,vivienda. agua. electricidad. gas y otros combustibles
2011-01-01,8.6,vivienda. agua. electricidad. gas y otros combustibles
2010-12-01,5.8,vivienda. agua. electricidad. gas y otros combustibles
2010-11-01,5.4,vivienda. agua. electricidad. gas y otros combustibles
2010-10-01,5.2,vivienda. agua. electricidad. gas y otros combustibles
2010-09-01,3.6,vivienda. agua. electricidad. gas y otros combustibles
2010-08-01,3.5,vivienda. agua. electricidad. gas y otros combustibles
2010-07-01,4.0,vivienda. agua. electricidad. gas y otros combustibles
2010-06-01,3.3,vivienda. agua. electricidad. gas y otros combustibles
2010-05-01,3.4,vivienda. agua. electricidad. gas y otros combustibles
2010-04-01,3.0,vivienda. agua. electricidad. gas y otros combustibles
2010-03-01,0.8,vivienda. agua. electricidad. gas y otros combustibles
2010-02-01,0.4,vivienda. agua. electricidad. gas y otros combustibles
2010-01-01,1.2,vivienda. agua. electricidad. gas y otros combustibles
2009-12-01,1.3,vivienda. agua. electricidad. gas y otros combustibles
2009-11-01,1.1,vivienda. agua. electricidad. gas y otros combustibles
2009-10-01,1.4,vivienda. agua. electricidad. gas y otros combustibles
2009-09-01,1.5,vivienda. agua. electricidad. gas y otros combustibles
2009-08-01,1.6,vivienda. agua. electricidad. gas y otros combustibles
2009-07-01,1.0,vivienda. agua. electricidad. gas y otros combustibles
2009-06-01,2.5,vivienda. agua. electricidad. gas y otros combustibles
2009-05-01,2.6,vivienda. agua. electricidad. gas y otros combustibles
2009-04-01,3.2,vivienda. agua. electricidad. gas y otros combustibles
2009-03-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2009-02-01,6.7,vivienda. agua. electricidad. gas y otros combustibles
2009-01-01,6.4,vivienda. agua. electricidad. gas y otros combustibles
2008-12-01,7.3,vivienda. agua. electricidad. gas y otros combustibles
2008-11-01,7.7,vivienda. agua. electricidad. gas y otros combustibles
2008-10-01,7.5,vivienda. agua. electricidad. gas y otros combustibles
2008-09-01,8.3,vivienda. agua. electricidad. gas y otros combustibles
2008-08-01,8.4,vivienda. agua. electricidad. gas y otros combustibles
2008-07-01,8.7,vivienda. agua. electricidad. gas y otros combustibles
2008-06-01,6.9,vivienda. agua. electricidad. gas y otros combustibles
2008-05-01,6.6,vivienda. agua. electricidad. gas y otros combustibles
2008-04-01,6.7,vivienda. agua. electricidad. gas y otros combustibles
2008-03-01,5.3,vivienda. agua. electricidad. gas y otros combustibles
2008-02-01,6.0,vivienda. agua. electricidad. gas y otros combustibles
2008-01-01,5.4,vivienda. agua. electricidad. gas y otros combustibles
2007-12-01,5.2,vivienda. agua. electricidad. gas y otros combustibles
2007-11-01,5.2,vivienda. agua. electricidad. gas y otros combustibles
2007-10-01,5.1,vivienda. agua. electricidad. gas y otros combustibles
2007-09-01,4.0,vivienda. agua. electricidad. gas y otros combustibles
2007-08-01,3.7,vivienda. agua. electricidad. gas y otros combustibles
2007-07-01,3.7,vivienda. agua. electricidad. gas y otros combustibles
2007-06-01,3.4,vivienda. agua. electricidad. gas y otros combustibles
2007-05-01,3.5,vivienda. agua. electricidad. gas y otros combustibles
2007-04-01,3.1,vivienda. agua. electricidad. gas y otros combustibles
2007-03-01,4.6,vivienda. agua. electricidad. gas y otros combustibles
2007-02-01,4.4,vivienda. agua. electricidad. gas y otros combustibles
2007-01-01,4.8,vivienda. agua. electricidad. gas y otros combustibles
2006-12-01,5.5,vivienda. agua. electricidad. gas y otros combustibles
2006-11-01,5.1,vivienda. agua. electricidad. gas y otros combustibles
2006-10-01,5.0,vivienda. agua. electricidad. gas y otros combustibles
2006-09-01,5.8,vivienda. agua. electricidad. gas y otros combustibles
2006-08-01,6.1,vivienda. agua. electricidad. gas y otros combustibles
2006-07-01,6.5,vivienda. agua. electricidad. gas y otros combustibles
2006-06-01,7.0,vivienda. agua. electricidad. gas y otros combustibles
2006-05-01,7.1,vivienda. agua. electricidad. gas y otros combustibles
2006-04-01,7.1,vivienda. agua. electricidad. gas y otros combustibles
2006-03-01,7.0,vivienda. agua. electricidad. gas y otros combustibles
2006-02-01,6.6,vivienda. agua. electricidad. gas y otros combustibles
2006-01-01,6.4,vivienda. agua. electricidad. gas y otros combustibles
2005-12-01,4.9,vivienda. agua. electricidad. gas y otros combustibles
2005-11-01,5.0,vivienda. agua. electricidad. gas y otros combustibles
2005-10-01,5.0,vivienda. agua. electricidad. gas y otros combustibles
2005-09-01,4.8,vivienda. agua. electricidad. gas y otros combustibles
2005-08-01,5.0,vivienda. agua. electricidad. gas y otros combustibles
2005-07-01,4.7,vivienda. agua. electricidad. gas y otros combustibles
2005-06-01,4.5,vivienda. agua. electricidad. gas y otros combustibles
2005-05-01,4.6,vivienda. agua. electricidad. gas y otros combustibles
2005-04-01,5.0,vivienda. agua. electricidad. gas y otros combustibles
2005-03-01,3.9,vivienda. agua. electricidad. gas y otros combustibles
2005-02-01,4.0,vivienda. agua. electricidad. gas y otros combustibles
2005-01-01,3.9,vivienda. agua. electricidad. gas y otros combustibles
2004-12-01,4.0,vivienda. agua. electricidad. gas y otros combustibles
2004-11-01,4.6,vivienda. agua. electricidad. gas y otros combustibles
2004-10-01,4.8,vivienda. agua. electricidad. gas y otros combustibles
2004-09-01,4.7,vivienda. agua. electricidad. gas y otros combustibles
2004-08-01,4.3,vivienda. agua. electricidad. gas y otros combustibles
2004-07-01,4.3,vivienda. agua. electricidad. gas y otros combustibles
2004-06-01,3.9,vivienda. agua. electricidad. gas y otros combustibles
2004-05-01,3.8,vivienda. agua. electricidad. gas y otros combustibles
2004-04-01,3.6,vivienda. agua. electricidad. gas y otros combustibles
2004-03-01,3.7,vivienda. agua. electricidad. gas y otros combustibles
2004-02-01,3.3,vivienda. agua. electricidad. gas y otros combustibles
2004-01-01,2.9,vivienda. agua. electricidad. gas y otros combustibles
2003-12-01,2.7,vivienda. agua. electricidad. gas y otros combustibles
2003-11-01,2.7,vivienda. agua. electricidad. gas y otros combustibles
2003-10-01,2.5,vivienda. agua. electricidad. gas y otros combustibles
2003-09-01,1.8,vivienda. agua. electricidad. gas y otros combustibles
2003-08-01,2.3,vivienda. agua. electricidad. gas y otros combustibles
2003-07-01,2.2,vivienda. agua. electricidad. gas y otros combustibles
2003-06-01,2.4,vivienda. agua. electricidad. gas y otros combustibles
2003-05-01,2.3,vivienda. agua. electricidad. gas y otros combustibles
2003-04-01,2.0,vivienda. agua. electricidad. gas y otros combustibles
2003-03-01,2.1,vivienda. agua. electricidad. gas y otros combustibles
2003-02-01,1.8,vivienda. agua. electricidad. gas y otros combustibles
2003-01-01,2.8,vivienda. agua. electricidad. gas y otros combustibles
2002-12-01,2.5,vivienda. agua. electricidad. gas y otros combustibles
2002-11-01,2.4,vivienda. agua. electricidad. gas y otros combustibles
2002-10-01,2.3,vivienda. agua. electricidad. gas y otros combustibles
2002-09-01,2.8,vivienda. agua. electricidad. gas y otros combustibles
2002-08-01,2.2,vivienda. agua. electricidad. gas y otros combustibles
2002-07-01,1.7,vivienda. agua. electricidad. gas y otros combustibles
2002-06-01,1.3,vivienda. agua. electricidad. gas y otros combustibles
2002-05-01,2.1,vivienda. agua. electricidad. gas y otros combustibles
2002-04-01,2.9,vivienda. agua. electricidad. gas y otros combustibles
2002-03-01,3.6,vivienda. agua. electricidad. gas y otros combustibles
2002-02-01,3.7,vivienda. agua. electricidad. gas y otros combustibles
2002-01-01,,vivienda. agua. electricidad. gas y otros combustibles
2022-09-01,10.7,transporte
2022-08-01,12.1,transporte
2022-07-01,16.8,transporte
2022-06-01,20.1,transporte
2022-05-01,15.5,transporte
2022-04-01,13.3,transporte
2022-03-01,18.5,transporte
2022-02-01,12.6,transporte
2022-01-01,11.2,transporte
2021-12-01,10.9,transporte
2021-11-01,13.6,transporte
2021-10-01,12.5,transporte
2021-09-01,10.0,transporte
2021-08-01,9.1,transporte
2021-07-01,8.8,transporte
2021-06-01,9.3,transporte
2021-05-01,9.9,transporte
2021-04-01,7.9,transporte
2021-03-01,4.2,transporte
2021-02-01,-1.0,transporte
2021-01-01,-3.4,transporte
2020-12-01,-4.6,transporte
2020-11-01,-5.5,transporte
2020-10-01,-5.6,transporte
2020-09-01,-5.5,transporte
2020-08-01,-5.0,transporte
2020-07-01,-4.9,transporte
2020-06-01,-5.7,transporte
2020-05-01,-8.6,transporte
2020-04-01,-7.4,transporte
2020-03-01,-3.0,transporte
2020-02-01,1.5,transporte
2020-01-01,3.8,transporte
2019-12-01,3.2,transporte
2019-11-01,-0.4,transporte
2019-10-01,-1.9,transporte
2019-09-01,-1.1,transporte
2019-08-01,-0.7,transporte
2019-07-01,-0.5,transporte
2019-06-01,-0.9,transporte
2019-05-01,1.2,transporte
2019-04-01,2.5,transporte
2019-03-01,2.6,transporte
2019-02-01,1.4,transporte
2019-01-01,-0.5,transporte
2018-12-01,0.4,transporte
2018-11-01,3.6,transporte
2018-10-01,6.3,transporte
2018-09-01,5.7,transporte
2018-08-01,5.9,transporte
2018-07-01,6.5,transporte
2018-06-01,6.6,transporte
2018-05-01,5.3,transporte
2018-04-01,2.3,transporte
2018-03-01,1.5,transporte
2018-02-01,1.2,transporte
2018-01-01,1.8,transporte
2017-12-01,2.2,transporte
2017-11-01,3.8,transporte
2017-10-01,2.5,transporte
2017-09-01,3.6,transporte
2017-08-01,3.5,transporte
2017-07-01,2.6,transporte
2017-06-01,2.0,transporte
2017-05-01,3.6,transporte
2017-04-01,6.3,transporte
2017-03-01,6.6,transporte
2017-02-01,8.7,transporte
2017-01-01,7.8,transporte
2016-12-01,4.8,transporte
2016-11-01,1.5,transporte
2016-10-01,1.9,transporte
2016-09-01,0.2,transporte
2016-08-01,-1.6,transporte
2016-07-01,-4.0,transporte
2016-06-01,-3.9,transporte
2016-05-01,-4.8,transporte
2016-04-01,-5.0,transporte
2016-03-01,-5.0,transporte
2016-02-01,-4.3,transporte
2016-01-01,-1.3,transporte
2015-12-01,-2.2,transporte
2015-11-01,-4.1,transporte
2015-10-01,-5.1,transporte
2015-09-01,-6.1,transporte
2015-08-01,-5.2,transporte
2015-07-01,-3.1,transporte
2015-06-01,-2.4,transporte
2015-05-01,-2.0,transporte
2015-04-01,-3.3,transporte
2015-03-01,-3.7,transporte
2015-02-01,-6.0,transporte
2015-01-01,-8.3,transporte
2014-12-01,-6.5,transporte
2014-11-01,-2.7,transporte
2014-10-01,-2.2,transporte
2014-09-01,-1.6,transporte
2014-08-01,-1.1,transporte
2014-07-01,-0.6,transporte
2014-06-01,0.3,transporte
2014-05-01,0.2,transporte
2014-04-01,-0.7,transporte
2014-03-01,-1.8,transporte
2014-02-01,-2.2,transporte
2014-01-01,-0.7,transporte
2013-12-01,0.8,transporte
2013-11-01,0.3,transporte
2013-10-01,-2.1,transporte
2013-09-01,-1.7,transporte
2013-08-01,-0.4,transporte
2013-07-01,1.3,transporte
2013-06-01,1.4,transporte
2013-05-01,-0.5,transporte
2013-04-01,-1.3,transporte
2013-03-01,0.0,transporte
2013-02-01,1.8,transporte
2013-01-01,1.6,transporte
2012-12-01,3.4,transporte
2012-11-01,3.2,transporte
2012-10-01,6.7,transporte
2012-09-01,7.4,transporte
2012-08-01,6.4,transporte
2012-07-01,4.0,transporte
2012-06-01,3.3,transporte
2012-05-01,4.7,transporte
2012-04-01,5.5,transporte
2012-03-01,6.2,transporte
2012-02-01,6.2,transporte
2012-01-01,5.8,transporte
2011-12-01,4.4,transporte
2011-11-01,6.7,transporte
2011-10-01,7.2,transporte
2011-09-01,7.6,transporte
2011-08-01,7.1,transporte
2011-07-01,7.6,transporte
2011-06-01,7.7,transporte
2011-05-01,7.7,transporte
2011-04-01,9.2,transporte
2011-03-01,9.6,transporte
2011-02-01,9.8,transporte
2011-01-01,8.8,transporte
2010-12-01,9.1,transporte
2010-11-01,6.6,transporte
2010-10-01,6.8,transporte
2010-09-01,6.6,transporte
2010-08-01,4.9,transporte
2010-07-01,5.9,transporte
2010-06-01,5.0,transporte
2010-05-01,7.4,transporte
2010-04-01,7.7,transporte
2010-03-01,7.6,transporte
2010-02-01,5.4,transporte
2010-01-01,5.9,transporte
2009-12-01,3.7,transporte
2009-11-01,0.8,transporte
2009-10-01,-4.3,transporte
2009-09-01,-6.8,transporte
2009-08-01,-6.4,transporte
2009-07-01,-9.5,transporte
2009-06-01,-8.8,transporte
2009-05-01,-9.1,transporte
2009-04-01,-7.5,transporte
2009-03-01,-8.1,transporte
2009-02-01,-6.2,transporte
2009-01-01,-6.1,transporte
2008-12-01,-5.6,transporte
2008-11-01,-1.6,transporte
2008-10-01,3.9,transporte
2008-09-01,6.8,transporte
2008-08-01,8.3,transporte
2008-07-01,10.2,transporte
2008-06-01,9.7,transporte
2008-05-01,8.2,transporte
2008-04-01,6.5,transporte
2008-03-01,7.2,transporte
2008-02-01,7.0,transporte
2008-01-01,7.0,transporte
2007-12-01,6.9,transporte
2007-11-01,6.4,transporte
2007-10-01,4.8,transporte
2007-09-01,2.5,transporte
2007-08-01,-0.1,transporte
2007-07-01,0.6,transporte
2007-06-01,1.2,transporte
2007-05-01,0.4,transporte
2007-04-01,0.6,transporte
2007-03-01,0.8,transporte
2007-02-01,-0.1,transporte
2007-01-01,0.2,transporte
2006-12-01,2.3,transporte
2006-11-01,1.0,transporte
2006-10-01,-0.6,transporte
2006-09-01,0.6,transporte
2006-08-01,5.3,transporte
2006-07-01,6.3,transporte
2006-06-01,7.2,transporte
2006-05-01,8.4,transporte
2006-04-01,7.2,transporte
2006-03-01,7.1,transporte
2006-02-01,7.8,transporte
2006-01-01,8.5,transporte
2005-12-01,6.1,transporte
2005-11-01,5.6,transporte
2005-10-01,6.9,transporte
2005-09-01,8.9,transporte
2005-08-01,6.7,transporte
2005-07-01,6.5,transporte
2005-06-01,5.1,transporte
2005-05-01,4.3,transporte
2005-04-01,6.0,transporte
2005-03-01,5.7,transporte
2005-02-01,5.6,transporte
2005-01-01,4.9,transporte
2004-12-01,5.9,transporte
2004-11-01,7.4,transporte
2004-10-01,8.0,transporte
2004-09-01,6.0,transporte
2004-08-01,5.8,transporte
2004-07-01,5.4,transporte
2004-06-01,5.9,transporte
2004-05-01,5.6,transporte
2004-04-01,2.8,transporte
2004-03-01,0.3,transporte
2004-02-01,-0.1,transporte
2004-01-01,-0.1,transporte
2003-12-01,0.7,transporte
2003-11-01,1.5,transporte
2003-10-01,0.0,transporte
2003-09-01,1.3,transporte
2003-08-01,1.8,transporte
2003-07-01,1.4,transporte
2003-06-01,0.7,transporte
2003-05-01,-0.2,transporte
2003-04-01,1.2,transporte
2003-03-01,4.2,transporte
2003-02-01,5.0,transporte
2003-01-01,4.7,transporte
2002-12-01,4.9,transporte
2002-11-01,3.7,transporte
2002-10-01,3.9,transporte
2002-09-01,2.4,transporte
2002-08-01,2.2,transporte
2002-07-01,1.4,transporte
2002-06-01,-0.1,transporte
2002-05-01,1.3,transporte
2002-04-01,2.3,transporte
2002-03-01,1.5,transporte
2002-02-01,0.1,transporte
2002-01-01,0.1,transporte